company,title,category,location,period,duration,posted_at,first_seen_at,last_seen_at,application_deadline_at,url
Shopee,"Data Analyst Intern - Business Intelligence, Regional Logistics (Spring 2027)",Data & AI,"Singapore, Singapore",Spring 2027,,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,,https://careers.shopee.sg/job-detail/J02145210/1
Shopee,"Data Analyst Applied AI Intern, Buyer & Marketing - Business Intelligence (Spring 2027)",Data & AI,"Singapore, Singapore",Spring 2027,,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,,https://careers.shopee.sg/job-detail/J02037906/1
Shopee,Data & Insights Intern - President's Office (Summer 2026),Data & AI,"Singapore, Singapore",Summer 2026,,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,,https://careers.shopee.sg/job-detail/J02109327/1
Shopee,Data & Insights Intern - President's Office (Spring 2026),Data & AI,"Singapore, Singapore",Spring 2026,,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,,https://careers.shopee.sg/job-detail/J02064723/1
Shopee,"Chatbot Algorithm Engineer Intern, Marketplace Intelligence & Data (Fall 2026)",Data & AI,"Singapore, Singapore",Fall 2026,,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,,https://careers.shopee.sg/job-detail/J02183308/1
Shopee,"Business Data Analyst Intern - Commercial Management, Business Development (Spring 2027)",Data & AI,"Singapore, Singapore",Spring 2027,,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,,https://careers.shopee.sg/job-detail/J00250728/1
Shopee,"Backend Engineer Intern, Marketplace Order Operations (Fall 2026)",Software,"Singapore, Singapore",Fall 2026,,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,,https://careers.shopee.sg/job-detail/J02072613/1
Shopee,"Backend Engineer Intern, Data Infrastructure - OLAP (Fall 2026/ Spring 2027)",Data & AI,"Singapore, Singapore",Fall 2026 / Spring 2027,,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,,https://careers.shopee.sg/job-detail/J02191248/1
Shopee,Backend Engineer Intern (Fall 2026),Software,"Singapore, Singapore",Fall 2026,,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,,https://careers.shopee.sg/job-detail/J02151045/1
Shopee,Automation Operational Technology (OT) Engineer Intern - Regional Logistics,Software,"Singapore, Singapore",,,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,,https://careers.shopee.sg/job-detail/J00382881/1
Shopee,AI Chatbot Product Manager Intern,Data & AI,"Singapore, Singapore",,,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,,https://careers.shopee.sg/job-detail/J02181237/1
Shopee,AI Automation & Operations Intelligence Intern - Regional SPX Express (Spring 2027),Data & AI,"Singapore, Singapore",Spring 2027,,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,,https://careers.shopee.sg/job-detail/J02098466/1
Shopee,AI Automation & Operations Intelligence Intern - Regional SPX Express (Spring 2026),Data & AI,"Singapore, Singapore",Spring 2026,,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,,https://careers.shopee.sg/job-detail/J02105769/1
Sea,System Automation & Assurance Intern (6 months),Software,"Singapore, Singapore",,,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,,https://career.sea.com/position/J02172351
Sea,System Automation & Assurance (6 months),Software,"Singapore, Singapore",,,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,,https://career.sea.com/position/J02173412
Sea,Security Engineering Intern,Security,"Singapore, Singapore",,,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,,https://career.sea.com/position/J02180598
Sea,Research Intern - AI for Science,Data & AI,"Singapore, Singapore",,6 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,,https://career.sea.com/position/J02129654
Sea,IT Support intern (6 months),IT & Infrastructure,"Singapore, Singapore",,,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,,https://career.sea.com/position/J02172545
Sea,IT Security Intern (6 months),Security,"Singapore, Singapore",,,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,,https://career.sea.com/position/J02164189
Sea,IT Project Management Intern (6 Months),IT & Infrastructure,"Singapore, Singapore",,,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,,https://career.sea.com/position/J02164599
Sea,IT Operations Specialist intern (6 months),IT & Infrastructure,"Singapore, Singapore",,,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,,https://career.sea.com/position/J02163472
Sea,Backend Engineer Intern,Software,"Singapore, Singapore",Jan 2027 Start,6 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,,https://career.sea.com/position/J02044564
GovTech,Tech – Systems Engineer: Systems Technologies,IT & Infrastructure,Punggol Digital District,,6 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/systems-engineer/systems-technologies
GovTech,Tech – Systems Engineer: MSF DataSphere,IT & Infrastructure,Non-Headquarters MSF (S298136),,6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/systems-engineer/msf-data-sphere-central-administration-and-social
GovTech,Tech – Systems Engineer: MOE DXD Resilience Operations and Development,IT & Infrastructure,Non-Headquarters MOE1 (S329927),,12 months / 6 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/systems-engineer/moe-dxd-resilience-operations-and-development
GovTech,Tech – Systems Engineer: IT Infrastructure Engineering,IT & Infrastructure,Non-Headquarters MOM 1 (S059764),,6 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/systems-engineer/it-infrastructure-engineering
GovTech,Tech – Systems Engineer: IM8 CONOPS,IT & Infrastructure,"Mapletree Business City, Block 10, Level 10 (S117438)",,12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/systems-engineer/im-8-conops
GovTech,Tech – Systems Engineer: DevOps Infrastructure Automation,IT & Infrastructure,Non-Headquarters MOE1 (S329927),,6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/systems-engineer/dev-ops-infrastructure-automation
GovTech,Tech – Software Engineer: enTRUST,Software,Punggol Digital District,,6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/en-trust
GovTech,Tech – Software Engineer: Workplace Experience Programme (B),Software,"Mapletree Business City, Block 10, Level 10 (S117438)",,6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/workplace-experience-programme-b
GovTech,Tech – Software Engineer: Workplace Experience Programme (A),Software,"Mapletree Business City, Block 10, Level 10 (S117438)",,6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/workplace-experience-programme-a
GovTech,Tech – Software Engineer: Workpal Mobile Platform (B),Software,"Mapletree Business City, Block 10, Level 10 (S117438)",,6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/workpal-mobile-platform-b
GovTech,Tech – Software Engineer: Workpal Mobile Platform (A),Software,"Mapletree Business City, Block 10, Level 10 (S117438)",,6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/workpal-mobile-platform-a
GovTech,Tech – Software Engineer: WINS Work Permit,Software,Non-Headquarters MOM 1 (S059764),,12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/wins-work-permit
GovTech,Tech – Software Engineer: Usability & Accessibility,Software,Punggol Digital District,,6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/usability-and-accessibility
GovTech,Tech – Software Engineer: TradeNet,Software,Punggol Digital District,,6 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/trade-net-consulting
GovTech,Tech – Software Engineer: Test Automation Toolkits,Software,"Mapletree Business City, Block 10, Level 10 (S117438)",,3 months / 6 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/test-automation-toolkits
GovTech,Tech – Software Engineer: TechPass,Software,Punggol Digital District,,6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/tech-pass
GovTech,Tech – Software Engineer: Standard Data Platforms (SDP),Software,Punggol Digital District,,12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/standard-data-platforms-sdp
GovTech,Tech – Software Engineer: Singpass Authentication,Software,"Mapletree Business City, Block 10, Level 10 (S117438)",,6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/singpass-authentication
GovTech,Tech – Software Engineer: Singpass Admin Portal Operational Tooling,Software,"Mapletree Business City, Block 10, Level 10 (S117438)",,6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/singpass-admin-portal-operational-tooling
GovTech,Tech – Software Engineer: Singapore Government Developer Portal,Software,Punggol Digital District,,6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/singapore-government-developer-portal
GovTech,Tech – Software Engineer: ServiceNow CoE,Software,Punggol Digital District,,3 months / 6 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/service-now-co-e
GovTech,Tech – Software Engineer: SecOps Internal Tooling & Services Development,Software,Punggol Digital District,,6 months / 12 months / 3 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/sec-ops-internal-tooling-and-services-development
GovTech,Tech – Software Engineer: Scam Analytics & Tactical Intervention System,Software,"Mapletree Business City, Block 10, Level 10 (S117438)",,6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/scam-analytics-and-tactical-intervention-system
GovTech,Tech – Software Engineer: Salesforce CoE,Software,Punggol Digital District,,12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/salesforce-co-e
GovTech,Tech – Software Engineer: Safer Online Spaces (SOS) - My First Phone,Software,"Mapletree Business City, Block 10, Level 10 (S117438)",,6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/safer-online-spaces-sos-my-first-phone
GovTech,Tech – Software Engineer: SSOE equip4work,Software,Non-Headquarters MOE1 (S329927),,6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/ssoe-equip4work-central-administration-and-social
GovTech,Tech – Software Engineer: SHIPHATS - AI Coding Tools,Software,Punggol Digital District,,6 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/shiphats-ai-coding-tools
GovTech,Tech – Software Engineer: SEED,Software,Punggol Digital District,,6 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/seed
GovTech,Tech – Software Engineer: Runtime (Container Stack/Airbase/GovPaaS),Software,Punggol Digital District,,6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/runtime-container-stack-airbase-gov-paa-s
GovTech,Tech – Software Engineer: Retina,Software,"Mapletree Business City, Block 10, Level 10 (S117438)",,6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/retina
GovTech,Tech – Software Engineer: Public Statistics Platform,Software,Non-Headquarters MOM 1 (S059764),,6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/public-statistics-platform
GovTech,"Tech – Software Engineer: Product Scorecard, Craft, Elevate",Software,Punggol Digital District,,3 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/product-scorecard-craft-elevate
GovTech,Tech – Software Engineer: Physical AI Across Robot Embodiments,Software,Punggol Digital District,,6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/physical-ai-across-robot-embodiments
GovTech,Tech – Software Engineer: Partner Experience for Singpass Integrations,Software,"Mapletree Business City, Block 10, Level 10 (S117438)",,6 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/partner-experience-for-singpass-integrations
GovTech,Tech – Software Engineer: PA Community Portal,Software,Punggol Digital District,,6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/pa-community-portal-central-administration-and-social
GovTech,Tech – Software Engineer: One Client View (OneCV),Software,Punggol Digital District,,6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/one-client-view-one-cv
GovTech,Tech – Software Engineer: OS2.0 Programme,Software,"Mapletree Business City, Block 10, Level 10 (S117438)",,6 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/os-2-0-programme
GovTech,Tech – Software Engineer: Network Monitoring Agent for Multi-Cloud,Software,Punggol Digital District,,3 months / 6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/network-monitoring-agent-for-multi-cloud
GovTech,Tech – Software Engineer: MySkillsFuture 2.0,Software,Paya Lebar Quarter -PLQ 2 (S408533),,6 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/my-skills-future-2-0
GovTech,Tech – Software Engineer: Modernisation Initiatives - Consulting,Software,Punggol Digital District,,6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/modernisation-initiatives-consulting-consulting
GovTech,Tech – Software Engineer: Modernisation Initiatives,Software,Punggol Digital District,,6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/modernisation-initiatives
GovTech,Tech – Software Engineer: LifeSG,Software,Punggol Digital District,,6 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/life-sg-apps-products-digital-society-products
GovTech,Tech – Software Engineer: Labour Market Data Platform,Software,Non-Headquarters MOM 1 (S059764),,6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/labour-market-data-platform
GovTech,Tech – Software Engineer: Integrated Digital Workspace,Software,Non-Headquarters MOM 1 (S059764),,6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/integrated-digital-workspace
GovTech,Tech – Software Engineer: Infrastructure and Services for Schools,Software,Non-Headquarters MOE1 (S329927),,12 months / 6 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/infrastructure-and-services-for-schools
GovTech,Tech – Software Engineer: Infrastructure Observability Tools,Software,"Mapletree Business City, Block 10, Level 10 (S117438)",,6 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/infrastructure-observability-tools
GovTech,Tech – Software Engineer: Information Services Programme (Applied AI),Software,Punggol Digital District,,6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/information-services-programme-applied-ai
GovTech,Tech – Software Engineer: Info Concierge,Software,"Mapletree Business City, Block 10, Level 10 (S117438)",,3 months / 6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/info-concierge
GovTech,Tech – Software Engineer: Government on Commercial Cloud (GCC),Software,Punggol Digital District,,6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/government-on-commercial-cloud-gcc
GovTech,Tech – Software Engineer: Government Commercial Cloud,Software,Punggol Digital District,,6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/government-commercial-cloud
GovTech,Tech – Software Engineer: GovWallet,Software,Punggol Digital District,,3 months / 6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/gov-wallet
GovTech,Tech – Software Engineer: GovEntry (B),Software,Punggol Digital District,,6 months / 3 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/gov-entry-b
GovTech,Tech – Software Engineer: GovEntry (A),Software,Punggol Digital District,,12 months / 6 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/gov-entry-a
GovTech,Tech – Software Engineer: GovAssure Enterprise Risk Management,Software,Punggol Digital District,,3 months / 6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/gov-assure-enterprise-risk-management
GovTech,Tech – Software Engineer: GovAssure,Software,Punggol Digital District,,6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/gov-assure
GovTech,Tech – Software Engineer: GatherSG,Software,Punggol Digital District,,3 months / 6 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/gather-sg
GovTech,Tech – Software Engineer: GCSOC Agency Self-Service Portal,Software,Punggol Digital District,,6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/gcsoc-agency-self-service-portal
GovTech,Tech – Software Engineer: GCC2.0 - Customer Success,Software,Punggol Digital District,,6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/gcc-2-0-customer-success
GovTech,Tech – Software Engineer: Engineering the Future of GRC,Software,"Mapletree Business City, Block 10, Level 10 (S117438)",,6 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/engineering-the-future-of-grc
GovTech,"Tech – Software Engineer: Enablement, DataTable",Software,Punggol Digital District,,6 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/enablement-data-table
GovTech,Tech – Software Engineer: EmPOWER Workplace Fairness,Software,Non-Headquarter Service Centre MOM 2 (S339946),,6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/em-power-workplace-fairness
GovTech,Tech – Software Engineer: Digital Survey Platform,Software,Non-Headquarters MOM 1 (S059764),,6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/digital-survey-platform
GovTech,Tech – Software Engineer: Digital Records Management,Software,Non-Headquarters MOM 1 (S059764),,6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/digital-records-management
GovTech,Tech – Software Engineer: Digital Accelerator Programme,Software,"Mapletree Business City, Block 10, Level 10 (S117438)",,6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/digital-accelerator-programme
GovTech,Tech – Software Engineer: DataHive,Software,Punggol Digital District,,6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/data-hive
GovTech,Tech – Software Engineer: Data Exchange Platform,Software,Non-Headquarters MOM 1 (S059764),,6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/data-exchange-platform
GovTech,Tech – Software Engineer: DLP Rule Processing Engine Development,Software,Non-Headquarters MOM 1 (S059764),,3 months / 6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/dlp-rule-processing-engine-development
GovTech,Tech – Software Engineer: Cybersecurity Tools & Automation,Software,Punggol Digital District,,6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/cybersecurity-tools-and-automation
GovTech,Tech – Software Engineer: CrowdTaskSG,Software,Punggol Digital District,,12 months / 6 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/crowd-task-sg
GovTech,Tech – Software Engineer: Consulting - Rapid AI Modernisation Programme,Software,Punggol Digital District,,6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/consulting-rapid-ai-modernisation-programme
GovTech,Tech – Software Engineer: Console (TechBiz),Software,Punggol Digital District,,6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/console-tech-biz
GovTech,Tech – Software Engineer: Console,Software,Punggol Digital District,,6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/console
GovTech,Tech – Software Engineer: Cloud Ready Infra & Security Platform (CRISP),Software,Non-Headquarters MOM 1 (S059764),,6 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/cloud-ready-infra-and-security-platform-crisp
GovTech,Tech – Software Engineer: CIOO Applications & Products,Software,"Mapletree Business City, Block 10, Level 10 (S117438)",,6 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/cioo-applications-and-products-cioo
GovTech,Tech – Software Engineer: Automation & AI Solutions,Software,"Mapletree Business City, Block 10, Level 10 (S117438)",,6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/automation-and-ai-solutions
GovTech,Tech – Software Engineer: Authorisation System Modernisation,Software,"Mapletree Business City, Block 10, Level 10 (S117438)",,6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/authorisation-system-modernisation
